"%1","%1",module,Magento_Sales
"You put the order on hold.","La commande a été bloquée.",module,Magento_Sales
"Your Credit Memo #%creditmemo_id for Order #%order_id","Votre avoir #%creditmemo_id pour la commande #%order_id",module,Magento_Sales
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Logo par défaut utilisé dans les documents PDF et HTML.<br />(jpeg, tiff, png) Si l'image dans le pdf est deformée, essayez d'utiliser un fichier image plus large.",module,Magento_Sales
"You released the order from holding status.","La commande est débloquée.",module,Magento_Sales
"Your Invoice #%invoice_id for Order #%order_id","Votre Facture #%invoice_id pour la Commande #%order_id",module,Magento_Sales
"Your Order <span class=""no-link"">#%increment_id</span>","Votre Commande <span class=""no-link"">#%increment_id</span>",module,Magento_Sales
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Votre commande #%increment_id a été mise à jour avec le statut <strong>%order_status</strong>.",module,Magento_Sales
"Your Shipment #%shipment_id for Order #%order_id","Livraison #%shipment_id pour la commande #%order_id",module,Magento_Sales
"Your shipping confirmation is below. Thank you again for your business.","Voici votre confirmation d'expédition. Encore merci de votre achat.",module,Magento_Sales
"You saved the gift card message.","Message cadeau sauvegardé.",module,Magento_Sales
"You saved the order status.","Statut de commande sauvegardé.",module,Magento_Sales
"You sent the message.","Message envoyé.",module,Magento_Sales
"You sent the order email.","Email de commande envoyé.",module,Magento_Sales
"You updated the order address.","Adresse de la commande mise à jour.",module,Magento_Sales
"You voided the credit memo.","Avoir annulé.",module,Magento_Sales
"ZIP Code","Code Postal",module,Magento_Sales
"Zip/Postal Code","Code postal",module,Magento_Sales
"ZIP/Post Code","Code Postal",module,Magento_Sales
